Quote,Author,Image file,Source of quote,Image link,Image credit,License type,Topic,Other links,Portrait from another page (same author)
"Cloud computing eliminates capital expenditure, so you can go global very quickly - you don't have to have extensive servers in every country.",Alan Patricof,dc_internet_files\general_image-1413.png,Dat Comms: Internet (dc_internet.php),https://www.flickr.com/photos/internetweek/17504033374,Photo Flikr,,Data Communications,,
"The first thing you learn when you're blogging is that people are one click away from leaving you. So you've got to get to the point, you can't waste people's time, you've got to give them some value for their limited attention span.",Alex Tabarrok,dc_e-comms_files\general_image-3623.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Alex_Tabarrok_speaking_at_TED_in_2009.jpg,"Photo by Bill Holsinger-Robinson (IMG_2580) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"If Web users do not get a response in seven seconds, then the user’s attention could be lost forever.","Andrew Holdsworth, Oracle 9i Database Performance Planning",,Data Comms: WWW (dc_www.php),,,,Data Communications,,
Privacy is one of the biggest problems in this new electronic age.,Andy Grove,dc_e-comms_files\general_image-1078.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Intel_CEOs_Gordon_Moore_Craig_Barrett_Andy_Grove_Paul_Otellini.jpg,"Photo by Intel Free Press [CC BY-SA 2.0], via Wikimedia Commons",CC BY-SA 2.0,Data Communications,,
"RSS, as a format and an idea, grew directly out of an internet culture that many people online today know nothing about: Usenet.",Annalee Newitz,dc_e-comms_files\general_image-3598.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Annalee_Newitz.jpg,Photo Wikimedia Commons,,Data Communications,,
"I can look into someone's eyes and feel like I know her better, versus a phone call, where you can't get that same type of emotion. That's why text messaging gets you in trouble: You can't bond, and emoticons explain only so much.",Apolo Ohno,dc_e-comms_files\general_image-3012.png,Data Comms: E-Communications (dc_e-comms.php),https://www.flickr.com/photos/seattlemunicipalarchives/40171986641,Photo Flikr CC 2 Attribution license,Attribution license,Data Communications,,
"It's too difficult to convey tone in electronic communication. And we can solve this my friends. All we need is some new fonts. 'Great party Arj. Best party ever.' ""What a jerk! "" How do you know he wasn't being sincere, Arj? Because he wrote it in Sarcastica! If he had enjoyed himself, he would have used Good Times Roman.",Arj Barker,dc_netiquette_files\general_image-1072.png,Data Comms: Netiquette (dc_netiquette.php),https://commons.wikimedia.org/wiki/File:Arj_Barker_@_Sir_Stewart_Bovell_Park_(7_1_12)_(6693046301).jpg,"Photo by Stuart Sevastos (Arj Barker @ Sir Stewart Bovell Park (7/1/12)) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"Before you become too entranced with gorgeous gadgets and mesmerizing video displays, let me remind you that information is not knowledge, knowledge is not wisdom, and wisdom is not foresight. Each grows out of the other, and we need them all.",Arthur C Clarke,dc_www_files\general_image-1084.png,Data Comms: WWW (dc_www.php),"https://www.flickr.com/photos/itupictures/16636142906,","Photo by By ITU Pictures - https://www.flickr.com/photos/itupictures/16636142906, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=64344486",CC BY 2.0,Data Communications,https://commons.wikimedia.org/w/index.php?curid=64344486,
"There is some argument about who actually invented text messaging, but I think it's safe to say it was a man. Multiple studies have shown that the average man uses about half as many words per day as women, thus text messaging. It eliminates hellos and goodbyes and cuts right to the chase.",Ashton Kutcher,dc_e-comms_files\general_image-3006.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Ashton_Kutcher_by_David_Shankbone.jpg,"Photo by David Shankbone (David Shankbone) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
A journey of a thousand sites begins with a single click.,Author Unknown,,Data Comms: Browsing and Searching (dc_browsing.php),,,,Data Communications,,
Hooked on Internet? Help is a just a click away.,Author Unknown,,Data Comms: Browsing and Searching (dc_browsing.php),,,,Data Communications,,
On Twitter we get excited if someone follows us. In real life we get really scared and run away.,Author Unknown,,Data Comms: E-Communications (dc_e-comms.php),,,,Data Communications,,
"YouTube, Twitter, and Facebook, are merging. The new program will be called YouTwitFace.",Author Unknown,,Data Comms: E-Communications (dc_e-comms.php),,,,Data Communications,,
"Everyone and his Big Brother wants to log your browsing habits, the better to build a profile of who you are and how you live your life - online and off. Search engine companies offer a benefit in return: more relevant search results. The more they know about you, the better they can tailor information to your needs.",Barton Gellman,,Data Comms: Browsing and Searching (dc_browsing.php),,,,Data Communications,,
The greatest thing about the internet is that you can quote something and just totally make up the source.,Benjamin Franklin,dc_evaluating_sites_files\general_image-1077.png,Data Comms: Evaluating web sites (dc_evaluating_sites.php),https://commons.wikimedia.org/wiki/File:Franklin-Benjamin-LOC.jpg,"By Joseph Duplessis [Public domain], via Wikimedia Commons(Obviously false - Franklin died looooong before even the first computer was invented)",Public domain,Data Communications,,
Being flooded with information doesn't mean we have the right information or that we're in touch with the right people.,Bill Gates,dc_evaluating_sites_files\general_image-1080.png,Data Comms: Evaluating web sites (dc_evaluating_sites.php),https://commons.wikimedia.org/wiki/File:Bill_Gates_July_2014.jpg,"Photo by DFID - UK Department for International Development (https://www.flickr.com/photos/dfid/14590135480/) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Data Communications,https://www.flickr.com/photos/dfid/14590135480/,
"Like almost everyone who uses e-mail, I receive a ton of spam every day. Much of it offers to help me get out of debt or get rich quick. It would be funny if it weren't so exciting.",Bill Gates,dc_e-comms_files\general_image-3775.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Bill_Gates_July_2014.jpg,"Photo by DFID - UK Department for International Development (https://www.flickr.com/photos/dfid/14590135480/) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Data Communications,https://www.flickr.com/photos/dfid/14590135480/,
"SPAM is taking e-mail, which is a wonderful tool, and exploiting the idea that it's very inexpensive to send mail.",Bill Gates,dc_e-comms_files\general_image-3778.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Bill_Gates_July_2014.jpg,"Photo by DFID - UK Department for International Development (https://www.flickr.com/photos/dfid/14590135480/) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Data Communications,https://www.flickr.com/photos/dfid/14590135480/,
The Internet is becoming the town square for the global village of tomorrow.,Bill Gates,dc_internet_files\general_image-1082.png,Dat Comms: Internet (dc_internet.php),https://commons.wikimedia.org/wiki/File:Bill_Gates_July_2014.jpg,"Photo by DFID - UK Department for International Development (https://www.flickr.com/photos/dfid/14590135480/) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Data Communications,https://www.flickr.com/photos/dfid/14590135480/,
"The first step in mobility was about letting people speak to each other; then, through 3G and 4G, we saw real connectivity - which works but isn't really designed for quality streaming. With 5G, we won't just be able to communicate better: it will democratise machines.",Borje Ekholm,,Data Comms: Media (dc_communications_media.php),,,,Data Communications,,
"WhatsApp provides phone-number-based messaging, and people asked, 'Isn't that what SMS is?' Yes, but SMS is expensive, antiquated, and what WhatsApp did was modernize and level that playing field. For example, in Europe, if France wants to talk to Belgium, it's extraordinary costly because of border and telecom charges.",Brian Acton,,Data Comms: E-Communications (dc_e-comms.php),,,,Data Communications,,
Don’t focus on having a great blog. Focus on producing a blog that’s great for your readers.,Brian Clark,dc_e-comms_files\general_image-3617.png,Data Comms: E-Communications (dc_e-comms.php),https://www.flickr.com/photos/toprankblog/2873751883,Photo by Toprank Marketing - Flikr,,Data Communications,,
"Video games and YouTube.com are creatively booming, even though Web design, as demonstrated by the ugly clutter of most major news sites, is in the pits.",Camille Paglia,dc_web_development_files\general_image-1120.png,Data Comms: Web Development (dc_web_development.php),https://commons.wikimedia.org/wiki/File:Camille_Paglia_no_Fronteiras_do_Pensamento_S%C3%A3o_Paulo_2015_(21440796269).jpg,"Photo by Fronteiras do Pensamento [CC BY-SA 2.0 ], via Wikimedia Commons",CC BY-SA 2.0,Data Communications,,
When you can type a few words into a search engine and land on your topic - or when you can scan a Shakespeare play for specific words or symbols - what opportunities might you miss to expand your thinking in unexpected ways?,Christina Baker Kline,dc_browsing_files\general_image-1297.png,Data Comms: Browsing and Searching (dc_browsing.php),https://commons.wikimedia.org/wiki/File:Author_Christina_Baker_Kline_at_KPL_(25504112271).jpg,"Photo by Kalamazoo Public Library from Kalamazoo, United States (Author Christina Baker Kline @ KPL) [No restrictions or Public domain], via Wikimedia Commons",No restrictions or Public domain,Data Communications,,
Communications tools don't get socially interesting until they get technologically boring.,"Clay Shirky, Here Comes Everybody: The Power of Organizing Without Organizations",dc_e-comms_files\general_image-2765.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Etech05_Clay2.jpg,"Photo by James Duncan Davidson from Portland, USA (Flickr) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Data Communications,,
Electronic communication is an instantaneous and illusory contact that creates a sense of intimacy without the emotional investment that leads to close friendships.,Clifford Stoll,,Data Comms: E-Communications (dc_e-comms.php),,,,Data Communications,,
"If you don't have an E-mail address, you're in the Netherworld. If you don't have your own World Wide Web page, you're a nobody.",Clifford Stoll,,Data Comms: E-Communications (dc_e-comms.php); Data Comms: WWW (dc_www.php),,,,Data Communications,,
"Spending an evening on the World Wide Web is much like sitting down to a dinner of Cheetos... two hours later your fingers are yellow and you're no longer hungry, but you haven't been nourished.",Clifford Stoll,,Data Comms: Browsing and Searching (dc_browsing.php),,,,Data Communications,,
"The problem is that with blogging, the model is publish first, maybe fact-check later. In newspapers, the model is you fact check first and then publish. But those models are merging.",Craig Newmark,dc_e-comms_files\general_image-3620.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Craig_Newmark_by_Pete_Forsyth.jpg,"Photo by Pete Forsyth, Wiki Strategies [CC BY 4.0 ], from Wikimedia Commons",CC BY 4.0,Data Communications,https://wikistrategies.net/pete-forsyth,
"I have an almost religious zeal — not for technology per se, but for the Internet which is for me, the nervous system of mother Earth, which I see as a living creature, linking up.",Dan Millman,,Dat Comms: Internet (dc_internet.php),,,,Data Communications,,
"LinkedIn is very good for browsing relationships and hooking into your contacts' networks. It re-connected me with high-level execs I hadn't talked to for some time, who then helped me close various deals.",Danah Boyd,dc_e-comms_files\general_image-2952.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Dboyd-3.jpg,"Photo commissioned by boyd (http://www.danah.org/images/danah/iSchool3.jpg) [CC BY-SA 4.0 ], via Wikimedia Commons",CC BY-SA 4.0,Data Communications,http://www.danah.org/images/danah/iSchool3.jpg,
"If you're making a bunch of little decisions - like: do I read this email now or later? Do I file it? Do I forward it? Do I have to get more information? Do I put it in the spam folder? - that's a handful of decisions right there, and you haven't done anything meaningful. It puts us into a brain state of decision fatigue.",Daniel Levitin,dc_e-comms_files\general_image-1811.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Levitin.jpg,"Photo by Arsenio Corôa (http://daniellevitin.com/publicpage/press-kit/) [CC BY 3.0], via Wikimedia Commons",CC BY 3.0,Data Communications,http://daniellevitin.com/publicpage/press-kit/,
"Twitter as a personalized graffiti wall; pithy aphorisms simmer in the subconscious, bubble up in a new blaze of dayglow calligraphy.","David J. Beard (1947–2016), 2007 December 10th",,Data Comms: E-Communications (dc_e-comms.php),,,,Data Communications,,
Sometimes I think opposable thumbs were invented so teenage girls could use text messaging.,Diane Lane,dc_e-comms_files\general_image-3003.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Diane_Lane_(Berlin_Film_Festival_2011)_2.jpg,"Photo by Siebbi (cropped version of ipernity.com) [CC BY 3.0 ], via Wikimedia Commons",CC BY 3.0,Data Communications,,
"The Internet destroyed most of the barriers to publication. The cost of being a publisher dropped to almost zero with two interesting immediate results: anybody can publish, and more importantly, you can publish whatever you want.",Dick Costolo,dc_evaluating_sites_files\general_image-1083.png,Data Comms: Evaluating web sites (dc_evaluating_sites.php),https://commons.wikimedia.org/wiki/File:Dick_Costolo_(8000963921).jpg,"Photo by Financial Times (Dick Costolo) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"Everyone talks about how we're on our phones all the time, but the fact remains that when I'm away on a film set for two months, I can Skype my family. I remember the phone calls my parents had to make when my dad was away for a while when I was younger - that once-a-week expensive phone call! The time pressure on talking to your father!",Domhnall Gleeson,dc_e-comms_files\general_image-2771.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Domhnall_Gleeson_by_Gage_Skidmore.jpg,"Photo Gage Skidmore [CC BY-SA 3.0], from Wikimedia Commons",CC BY-SA 3.0,Data Communications,,
"No matter how well you know the rules of netiquette, you will eventually offend someone who doesn't.",Don Rittner,,Data Comms: Netiquette (dc_netiquette.php),,,,Data Communications,,
We have never really had absolute privacy with our records or our electronic communications - government agencies have always been able to gain access with appropriate court orders.,Dorothy E. Denning,dc_e-comms_files\general_image-1069.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Dorothy-Denning-Feb2013-head.jpg,"Photo by Unknown photographer, US Navy (http://faculty.nps.edu/dedennin/) [Public domain], via Wikimedia Commons",Public domain,Data Communications,http://faculty.nps.edu/dedennin/,
"First we thought the PC was a calculator. Then we found out how to turn numbers into letters with ASCII — and we thought it was a typewriter. Then we discovered graphics, and we thought it was a television. With the World Wide Web, we’ve realized it’s a brochure.",Douglas Adams,dc_www_files\general_image-1066.png,Data Comms: WWW (dc_www.php),,"Photo: By michael hughes from Berlin, Germany (Douglas Adams Uploaded by Diaa_abdelmoneim) [CC BY-SA 2.0 (https://creativecommons.org/licenses/by-sa/2.0)], via Wikimedia Commons",CC BY-SA 2.0,Data Communications,,
"In a faraway land called 'pre-2000,' what Earthlings now call blogging was called 'keeping a diary.' It's hard work to do well. I tried doing it in the early 1990s but had to stop because I no longer had a life - instead I had this thing that generated anecdotes to go into my diary. The diary took over and I had to stop.",Douglas Coupland,dc_e-comms_files\general_image-3796.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Douglas_Coupland_Photo_of_Author.jpg,"By Douglas Coupland [CC BY-SA 3.0 ], via Wikimedia Commons",CC BY-SA 3.0,Data Communications,,
"Digital technology is both arousing and distancing. We don't look at the users on the other side as people. They aren't - they're just usernames, Facebook photos and Twitter handles.",Douglas Rushkoff,dc_e-comms_files\general_image-2991.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Douglas_Rushkoff.jpg,"Photo by FRONT from Belfast, Northern Ireland (Doug RushkoffUploaded by The Earwig) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"Everyone knows, or should know, that everything we type on our computers or say into our cell phones is being disseminated throughout the datasphere. And most of it is recorded and parsed by big data servers. Why do you think Gmail and Facebook are free? You think they're corporate gifts? We pay with our data.",Douglas Rushkoff,dc_e-comms_files\general_image-3760.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Douglas_Rushkoff.jpg,"Photo by FRONT from Belfast, Northern Ireland (Doug RushkoffUploaded by The Earwig) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"Just as infinite access to free music ultimately leads to no one making a living at music anymore, free journalism just doesn't pay for itself - particularly not when a search engine is serving all the ads.",Douglas Rushkoff,dc_browsing_files\general_image-1307.png,Data Comms: Browsing and Searching (dc_browsing.php),https://commons.wikimedia.org/wiki/File:Douglas_Rushkoff.jpg,"Photo by FRONT from Belfast, Northern Ireland (Doug RushkoffUploaded by The Earwig) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"Most of us still haven't grasped the fact that everything we commit to the digital space - not just our public blogs and broadcast tweets, but every private text message, email, and voicemail is likely to be stored and accessible. Forever.",Douglas Rushkoff,dc_e-comms_files\general_image-3757.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Douglas_Rushkoff.jpg,"Photo by FRONT from Belfast, Northern Ireland (Doug RushkoffUploaded by The Earwig) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"The cloud is still really just a bunch of servers, owned by someone or something, whose decisions and competence must be trusted. This applies to everything from Google Docs to Gmail: Putting our data out there really means putting it 'out there.'",Douglas Rushkoff,dc_internet_files\general_image-1383.png,Dat Comms: Internet (dc_internet.php),https://commons.wikimedia.org/wiki/File:Douglas_Rushkoff.jpg,"Photo by FRONT from Belfast, Northern Ireland (Doug RushkoffUploaded by The Earwig) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"The early cyberpunk idea was that networked computers would let us do our work at home, as freelancers, and then transact directly with peers over networks.",Douglas Rushkoff,dc_types_of_networks_files\general_image-70.png,Data Comms: Types of Networks (dc_types_of_networks.html),https://commons.wikimedia.org/wiki/File:Douglas_Rushkoff.jpg,"Photo by FRONT from Belfast, Northern Ireland (Doug RushkoffUploaded by The Earwig) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Data Communications,,
The hours Facebook users put into their profiles and lists and updates is the labor that Facebook then sells to the market researchers and advertisers it serves.,Douglas Rushkoff,dc_e-comms_files\general_image-3754.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Douglas_Rushkoff.jpg,"Photo by FRONT from Belfast, Northern Ireland (Doug RushkoffUploaded by The Earwig) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"Web sites are designed to keep young people from using the keyboard, except to enter in their parents' credit card information.",Douglas Rushkoff,dc_web_development_files\general_image-1123.png,Data Comms: Web Development (dc_web_development.php),https://commons.wikimedia.org/wiki/File:Douglas_Rushkoff.jpg,"Photo by FRONT from Belfast, Northern Ireland (Doug RushkoffUploaded by The Earwig) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"Your email inbox is a bit like a Las Vegas roulette machine. You know, you just check it and check it, and every once in a while there's some juicy little tidbit of reward, like the three quarters that pop down on a one-armed bandit. And that keeps you coming back for more.",Douglas Rushkoff,dc_e-comms_files\general_image-1826.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Douglas_Rushkoff.jpg,"Photo by FRONT from Belfast, Northern Ireland (Doug RushkoffUploaded by The Earwig) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Data Communications,,
I do love email. Wherever possible I try to communicate asynchronously. I'm really good at email.,Elon Musk,dc_e-comms_files\general_image-1823.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Elon_Musk_2015.jpg,"Photo by Steve Jurvetson [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"The Internet is the first thing that humanity has built that humanity doesn't understand, the largest experiment in anarchy that we have ever had.",Eric Schmidt,dc_internet_files\general_image-1070.png,Dat Comms: Internet (dc_internet.php),,"Photo by JD Lasica from Pleasanton, CA, US (Eric Schmidt) [CC BY 2.0 (https://creativecommons.org/licenses/by/2.0)], via Wikimedia Commons",CC BY 2.0,Data Communications,,
There's nothing that cannot be found through some search engine or on the Internet somewhere.,Eric Schmidt,dc_browsing_files\general_image-1288.png,Data Comms: Browsing and Searching (dc_browsing.php),,"Photo by JD Lasica from Pleasanton, CA, US (Eric Schmidt) [CC BY 2.0 (https://creativecommons.org/licenses/by/2.0)], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"The Internet is like alcohol in some sense. It accentuates what you would do anyway. If you want to be a loner, you can be more alone. If you want to connect, it makes it easier to connect.”",Esther Dyson,dc_internet_files\general_image-1094.png,Dat Comms: Internet (dc_internet.php),https://commons.wikimedia.org/wiki/File:Esther_Dyson-20050316.jpg,"Photo by James Duncan Davidson from Portland, USA (Etech05: Esther) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Data Communications,,
A world where everyone creates content gets confusing pretty quickly without a good search engine.,Ethan Zuckerman,dc_browsing_files\general_image-1285.png,Data Comms: Browsing and Searching (dc_browsing.php),,,,Data Communications,,
"Every major communication tool on the Internet has spam and abuse problems. All email services, blogging services and social networks have to dedicate a significant amount of resources and time to fighting abuse and protecting their users.",Evan Williams,dc_e-comms_files\general_image-2994.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Evan_Williams_(2).jpg,"Photo by Joi [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
Cloud computing is a great euphemism for centralization of computer services under one server.,Evgeny Morozov,dc_internet_files\general_image-1392.png,Dat Comms: Internet (dc_internet.php),https://en.wikipedia.org/wiki/Evgeny_Morozov#/media/File:Evgeny_Morozov_-_Wer_kann_die_neue_Zukunft_machen%3F_(17333061348).jpg,Photo from Wikimedia Commons,,Data Communications,,
"No grand idea was ever born in a conference, but a lot of foolish ideas have died there.",F. Scott Fitzgerald,dc_e-comms_files\general_image-2774.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:F_Scott_Fitzgerald_1921.jpg,"Photo by The World's Work (The World's Work (June 1921), p. 192) [Public domain], via Wikimedia Commons",Public domain,Data Communications,,
"If someone had protected the HTML language for making Web pages, then we wouldn't have the World Wide Web.",Feng Zhang,dc_www_files\general_image-1075.png,Data Comms: WWW (dc_www.php),https://zh.wikipedia.org/zh-sg/File:Fzhang_at_summit.jpg,Photo: https://zh.wikipedia.org/zh-sg/File:Fzhang_at_summit.jpg,,Data Communications,,
Google is arguably one of the greatest inventions. The search engine is one of the greatest inventions in human history.,Franklin Foer,,Data Comms: Browsing and Searching (dc_browsing.php),,,,Data Communications,,
Social media is not a fad because it’s human.,Gary Vaynerchuk,dc_e-comms_files\general_image-3766.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Gary_Vaynerchuk_public_domain.jpg,"Photo Vaynermedia [CC0], via Wikimedia Commons",CC0,Data Communications,,
Information on the Internet is subject to the same rules and regulations as conversation at a bar.,George Lundberg,,Dat Comms: Internet (dc_internet.php),,,,Data Communications,,
"Where the Internet is about availability of information, blogging is about making information creation available to anyone.",George Siemens,dc_e-comms_files\general_image-3790.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:George_Siemens_at_TEDxNYED.jpg,"Photo by George_Siemens,_David_A._Wiley,_and_Michael_Wesch_at_TEDxNYED.jpg: SpecialKRBderivative work: Mike Linksvayer [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"Freedom of Speech doesn't justify online bullying. Words have power, be careful how you use them.",Germany Kent,dc_netiquette_files\general_image-1069.png,Data Comms: Netiquette (dc_netiquette.php),https://commons.wikimedia.org/wiki/File:Germany_Kent_Media_Personality_Author.jpg,"Photo by Star Stone Press [CC BY-SA 4.0 ], from Wikimedia Commons",CC BY-SA 4.0,Data Communications,,
"If you are on social media, and you are not learning, not laughing, not being inspired or not networking, then you are using it wrong.",Germany Kent,dc_e-comms_files\general_image-2939.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Germany_Kent_Media_Personality_Author.jpg,"Photo by Star Stone Press [CC BY-SA 4.0 ], from Wikimedia Commons",CC BY-SA 4.0,Data Communications,,
"Turn off your email; turn off your phone; disconnect from the Internet; figure out a way to set limits so you can concentrate when you need to, and disengage when you need to. Technology is a good servant but a bad master.",Gretchen Rubin,dc_e-comms_files\general_image-1820.png,Data Comms: E-Communications (dc_e-comms.php),https://www.flickr.com/photos/linkedineditors/16623369441,Photo from Flikr,,Data Communications,,
"There are three kinds of death in this world. There's heart death, there's brain death, and there's being off the network.",Guy Almes,,Data Comms: Types of Networks (dc_types_of_networks.html),,,,Data Communications,,
To hide behind a computer and an anonymous persona to spew hate at another person is despicable.,Heather Dubrow,,Data Comms: E-Communications (dc_e-comms.php),,,,Data Communications,,
"Unlike with the majority of library books, when you enter a term into a search engine there is no guarantee that what you will find is authoritative, accurate or even vaguely true.",Howard Rheingold,dc_browsing_files\general_image-1270.png,Data Comms: Browsing and Searching (dc_browsing.php); Data Comms: Evaluating web sites (dc_evaluating_sites.php),https://commons.wikimedia.org/wiki/File:Howard_Rheingold_(5).jpg,"Photo by Joi [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
